Race,Year,URL,race_name,Updated,n,race,type
Elfstedenronde 2021,2021,https://www.nicerodds.co.uk/elfstedenronde,Who wins Elfstedenronde 2021?,2021-06-06T09:00:24Z,141,race/circuit-des-xi-villes/2021,1
Elfstedenronde 2021,2021,https://www.nicerodds.co.uk/elfstedenronde,Who wins Elfstedenronde 2021?,2021-06-05T23:59:22Z,132,race/circuit-des-xi-villes/2021,1
Elfstedenronde 2021,2021,https://www.nicerodds.co.uk/elfstedenronde,Who wins Elfstedenronde 2021?,2021-06-05T20:00:24Z,132,race/circuit-des-xi-villes/2021,1
Elfstedenronde 2021,2021,https://www.nicerodds.co.uk/elfstedenronde,Who wins Elfstedenronde 2021?,2021-06-05T17:00:25Z,135,race/circuit-des-xi-villes/2021,1
Elfstedenronde 2021,2021,https://www.nicerodds.co.uk/elfstedenronde,Who wins Elfstedenronde 2021?,2021-06-05T09:01:05Z,135,race/circuit-des-xi-villes/2021,1
Elfstedenronde 2021,2021,https://www.nicerodds.co.uk/elfstedenronde,Who wins Elfstedenronde 2021?,2021-06-05T00:00:03Z,135,race/circuit-des-xi-villes/2021,1
Elfstedenronde 2021,2021,https://www.nicerodds.co.uk/elfstedenronde,Who wins Elfstedenronde 2021?,2021-06-04T20:01:01Z,135,race/circuit-des-xi-villes/2021,1
Clásica de Almería 2021,2021,https://www.nicerodds.co.uk/clasica-de-almeria,Who wins Clásica de Almería 2021?,2021-02-14T09:00:13Z,304,race/clasica-de-almeria/2021,1
Clásica de Almería 2021,2021,https://www.nicerodds.co.uk/clasica-de-almeria,Who wins Clásica de Almería 2021?,2021-02-13T23:59:13Z,304,race/clasica-de-almeria/2021,1
Clásica de Almería 2021,2021,https://www.nicerodds.co.uk/clasica-de-almeria,Who wins Clásica de Almería 2021?,2021-02-13T20:00:16Z,304,race/clasica-de-almeria/2021,1
Clásica de Almería 2021,2021,https://www.nicerodds.co.uk/clasica-de-almeria,Who wins Clásica de Almería 2021?,2021-02-13T09:00:14Z,24,race/clasica-de-almeria/2021,1
Clásica de Almería 2021,2021,https://www.nicerodds.co.uk/clasica-de-almeria,Who wins Clásica de Almería 2021?,2021-02-12T23:59:13Z,24,race/clasica-de-almeria/2021,1
Clásica de Almería 2021,2021,https://www.nicerodds.co.uk/clasica-de-almeria,Who wins Clásica de Almería 2021?,2021-02-12T20:00:13Z,24,race/clasica-de-almeria/2021,1
Clásica de Almería 2021,2021,https://www.nicerodds.co.uk/clasica-de-almeria,Who wins Clásica de Almería 2021?,2021-02-12T09:00:17Z,390,race/clasica-de-almeria/2021,1
Clásica de Almería 2021,2021,https://www.nicerodds.co.uk/clasica-de-almeria,Who wins Clásica de Almería 2021?,2021-02-11T23:59:15Z,390,race/clasica-de-almeria/2021,1
Clásica de Almería 2021,2021,https://www.nicerodds.co.uk/clasica-de-almeria,Who wins Clásica de Almería 2021?,2021-02-11T20:00:14Z,390,race/clasica-de-almeria/2021,1
Clásica de Almería 2021,2021,https://www.nicerodds.co.uk/clasica-de-almeria,Who wins Clásica de Almería 2021?,2021-02-11T09:00:16Z,387,race/clasica-de-almeria/2021,1
Clásica de Almería 2021,2021,https://www.nicerodds.co.uk/clasica-de-almeria,Who wins Clásica de Almería 2021?,2021-02-10T23:59:16Z,387,race/clasica-de-almeria/2021,1
Clásica de Almería 2021,2021,https://www.nicerodds.co.uk/clasica-de-almeria,Who wins Clásica de Almería 2021?,2021-02-10T20:00:15Z,387,race/clasica-de-almeria/2021,1
Clásica de Almería 2021,2021,https://www.nicerodds.co.uk/clasica-de-almeria,Who wins Clásica de Almería 2021?,2021-02-10T09:00:15Z,348,race/clasica-de-almeria/2021,1
Clásica de Almería 2021,2021,https://www.nicerodds.co.uk/clasica-de-almeria,Who wins Clásica de Almería 2021?,2021-02-09T23:59:14Z,348,race/clasica-de-almeria/2021,1
Clásica de Almería 2021,2021,https://www.nicerodds.co.uk/clasica-de-almeria,Who wins Clásica de Almería 2021?,2021-02-09T20:00:14Z,351,race/clasica-de-almeria/2021,1
Clásica de Almería 2021,2021,https://www.nicerodds.co.uk/clasica-de-almeria,Who wins Clásica de Almería 2021?,2021-02-09T09:00:13Z,354,race/clasica-de-almeria/2021,1
Clásica de Almería 2021,2021,https://www.nicerodds.co.uk/clasica-de-almeria,Who wins Clásica de Almería 2021?,2021-02-08T23:59:12Z,354,race/clasica-de-almeria/2021,1
Clásica de Almería 2021,2021,https://www.nicerodds.co.uk/clasica-de-almeria,Who wins Clásica de Almería 2021?,2021-02-08T20:00:12Z,354,race/clasica-de-almeria/2021,1
Clásica de Almería 2021,2021,https://www.nicerodds.co.uk/clasica-de-almeria,Who wins Clásica de Almería 2021?,2021-02-08T09:00:14Z,357,race/clasica-de-almeria/2021,1
Clásica de Almería 2021,2021,https://www.nicerodds.co.uk/clasica-de-almeria,Who wins Clásica de Almería 2021?,2021-02-07T23:59:11Z,357,race/clasica-de-almeria/2021,1
Clásica de Almería 2021,2021,https://www.nicerodds.co.uk/clasica-de-almeria,Who wins Clásica de Almería 2021?,2021-02-07T20:00:14Z,357,race/clasica-de-almeria/2021,1
Critérium du Dauphiné 2020 Stage 1 Winner,2020,https://www.nicerodds.co.uk/stage-odds,Critérium du Dauphiné 2020 - stage 1 winner,2020-08-12T10:00:30Z,411,race/dauphine/2020,1
Critérium du Dauphiné 2020 Stage 1 Winner,2020,https://www.nicerodds.co.uk/stage-odds,Critérium du Dauphiné 2020 - stage 1 winner,2020-08-12T04:00:26Z,730,race/dauphine/2020,1
Critérium du Dauphiné 2020 Stage 1 Winner,2020,https://www.nicerodds.co.uk/stage-odds,Critérium du Dauphiné 2020 - stage 1 winner,2020-08-11T20:00:22Z,735,race/dauphine/2020,1
Critérium du Dauphiné 2020 Stage 2 Winner,2020,https://www.nicerodds.co.uk/stage-odds,Critérium du Dauphiné 2020 - stage 2 winner,2020-08-13T04:00:23Z,625,race/dauphine/2020,2
Critérium du Dauphiné 2020 Stage 2 Winner,2020,https://www.nicerodds.co.uk/stage-odds,Critérium du Dauphiné 2020 - stage 2 winner,2020-08-12T20:00:16Z,492,race/dauphine/2020,2
Critérium du Dauphiné 2020 Stage 3 Winner,2020,https://www.nicerodds.co.uk/stage-odds,Critérium du Dauphiné 2020 - stage 3 winner,2020-08-14T04:00:24Z,640,race/dauphine/2020,3
Critérium du Dauphiné 2020 Stage 3 Winner,2020,https://www.nicerodds.co.uk/stage-odds,Critérium du Dauphiné 2020 - stage 3 winner,2020-08-13T20:00:25Z,645,race/dauphine/2020,3
Critérium du Dauphiné 2020 Stage 4 Winner,2020,https://www.nicerodds.co.uk/stage-odds,Critérium du Dauphiné 2020 - stage 4 winner,2020-08-15T04:00:23Z,680,race/dauphine/2020,4
Critérium du Dauphiné 2020 Stage 4 Winner,2020,https://www.nicerodds.co.uk/stage-odds,Critérium du Dauphiné 2020 - stage 4 winner,2020-08-14T20:00:22Z,524,race/dauphine/2020,4
Critérium du Dauphiné 2020 Stage 5 Winner,2020,https://www.nicerodds.co.uk/stage-odds,Critérium du Dauphiné 2020 - stage 5 winner,2020-08-16T04:00:24Z,600,race/dauphine/2020,5
Critérium du Dauphiné 2020 Stage 5 Winner,2020,https://www.nicerodds.co.uk/stage-odds,Critérium du Dauphiné 2020 - stage 5 winner,2020-08-15T20:00:17Z,484,race/dauphine/2020,5
Critérium du Dauphiné 2020 Winner,2020,https://www.nicerodds.co.uk/criterium-du-dauphine,Who wins Critérium du Dauphiné 2020?,2020-08-16T04:00:14Z,63,race/dauphine/2020,GC
Critérium du Dauphiné 2020 Winner,2020,https://www.nicerodds.co.uk/criterium-du-dauphine,Who wins Critérium du Dauphiné 2020?,2020-08-15T20:00:14Z,63,race/dauphine/2020,GC
Critérium du Dauphiné 2020 Winner,2020,https://www.nicerodds.co.uk/criterium-du-dauphine,Who wins Critérium du Dauphiné 2020?,2020-08-15T04:00:13Z,385,race/dauphine/2020,GC
Critérium du Dauphiné 2020 Winner,2020,https://www.nicerodds.co.uk/criterium-du-dauphine,Who wins Critérium du Dauphiné 2020?,2020-08-14T20:00:15Z,385,race/dauphine/2020,GC
Critérium du Dauphiné 2020 Winner,2020,https://www.nicerodds.co.uk/criterium-du-dauphine,Who wins Critérium du Dauphiné 2020?,2020-08-14T04:00:16Z,390,race/dauphine/2020,GC
Critérium du Dauphiné 2020 Winner,2020,https://www.nicerodds.co.uk/criterium-du-dauphine,Who wins Critérium du Dauphiné 2020?,2020-08-13T20:00:15Z,390,race/dauphine/2020,GC
Critérium du Dauphiné 2020 Winner,2020,https://www.nicerodds.co.uk/criterium-du-dauphine,Who wins Critérium du Dauphiné 2020?,2020-08-13T04:00:15Z,410,race/dauphine/2020,GC
Critérium du Dauphiné 2020 Winner,2020,https://www.nicerodds.co.uk/criterium-du-dauphine,Who wins Critérium du Dauphiné 2020?,2020-08-12T20:00:14Z,328,race/dauphine/2020,GC
Critérium du Dauphiné 2020 Winner,2020,https://www.nicerodds.co.uk/criterium-du-dauphine,Who wins Critérium du Dauphiné 2020?,2020-08-12T10:00:19Z,252,race/dauphine/2020,GC
Critérium du Dauphiné 2020 Winner,2020,https://www.nicerodds.co.uk/criterium-du-dauphine,Who wins Critérium du Dauphiné 2020?,2020-08-12T04:00:14Z,545,race/dauphine/2020,GC
Critérium du Dauphiné 2020 Winner,2020,https://www.nicerodds.co.uk/criterium-du-dauphine,Who wins Critérium du Dauphiné 2020?,2020-08-11T20:00:11Z,545,race/dauphine/2020,GC
Critérium du Dauphiné 2020 Winner,2020,https://www.nicerodds.co.uk/criterium-du-dauphine,Who wins Critérium du Dauphiné 2020?,2020-08-11T04:00:16Z,545,race/dauphine/2020,GC
Critérium du Dauphiné 2020 Winner,2020,https://www.nicerodds.co.uk/criterium-du-dauphine,Who wins Critérium du Dauphiné 2020?,2020-08-10T20:00:11Z,545,race/dauphine/2020,GC
Critérium du Dauphiné 2021,2021,https://www.nicerodds.co.uk/criterium-du-dauphine,Critérium du Dauphiné 2021 - Overall winner,2021-06-06T09:00:09Z,488,race/dauphine/2021,8
Critérium du Dauphiné 2021,2021,https://www.nicerodds.co.uk/criterium-du-dauphine,Critérium du Dauphiné 2021 - Overall winner,2021-06-05T23:59:09Z,488,race/dauphine/2021,8
Critérium du Dauphiné 2021,2021,https://www.nicerodds.co.uk/criterium-du-dauphine,Critérium du Dauphiné 2021 - Overall winner,2021-06-05T20:00:09Z,488,race/dauphine/2021,8
Critérium du Dauphiné 2021,2021,https://www.nicerodds.co.uk/criterium-du-dauphine,Critérium du Dauphiné 2021 - Overall winner,2021-06-05T09:00:51Z,288,race/dauphine/2021,7
Critérium du Dauphiné 2021,2021,https://www.nicerodds.co.uk/criterium-du-dauphine,Critérium du Dauphiné 2021 - Overall winner,2021-06-04T23:59:49Z,490,race/dauphine/2021,7
Critérium du Dauphiné 2021,2021,https://www.nicerodds.co.uk/criterium-du-dauphine,Critérium du Dauphiné 2021 - Overall winner,2021-06-04T20:00:48Z,490,race/dauphine/2021,7
Critérium du Dauphiné 2021,2021,https://www.nicerodds.co.uk/criterium-du-dauphine,Critérium du Dauphiné 2021 - Overall winner,2021-06-04T09:00:52Z,452,race/dauphine/2021,6
Critérium du Dauphiné 2021,2021,https://www.nicerodds.co.uk/criterium-du-dauphine,Critérium du Dauphiné 2021 - Overall winner,2021-06-03T23:59:45Z,452,race/dauphine/2021,6
Critérium du Dauphiné 2021,2021,https://www.nicerodds.co.uk/criterium-du-dauphine,Critérium du Dauphiné 2021 - Overall winner,2021-06-03T20:00:42Z,452,race/dauphine/2021,6
Critérium du Dauphiné 2021,2021,https://www.nicerodds.co.uk/criterium-du-dauphine,Critérium du Dauphiné 2021 - Overall winner,2021-06-03T09:00:49Z,464,race/dauphine/2021,5
Critérium du Dauphiné 2021,2021,https://www.nicerodds.co.uk/criterium-du-dauphine,Critérium du Dauphiné 2021 - Overall winner,2021-06-02T23:59:44Z,464,race/dauphine/2021,5
